Nome da Música,link,album,letra
Alexia (Part. Nando Reis),/skank/alexia-part-nando-reis.html,Velocia,"Pela rambla o estandarte das cores Catalunya, Barceloneta, Blaugrana A mirar-lhe o olhar de mil homens Bailarina dança na roda sardana  Chove chuva, molha o chão Nuvem, samba do avião Ela vai jogar  Hendrix, Elvis, Messi e hoje Brilha nova estrela dessa galáxia Flashes, lights, likes, closes Compartilha agora a beleza de Alexia  Vai começar mais um jogo  Menina mulher da pele branca Com a classe de quem sabe a arte de jogar bem futebol A bela da tarde com charme encanta Filme de Buñuel, obra de Gaudi ou tela de Miró  Hendrix, Elvis, Messi e hoje Brilha nova estrela dessa galáxia Inverte os pés, caem os cones Dribla as zagueiras e a guarda-metas  Pra fazer um golaço"
Algo Parecido,/skank/algo-parecido.html,,Escorre o tempo que seguro E cabe em minhas mãos Eu empresto o meu mundo Pra te ter então Você vai acreditar talvez Ou senão queira partir de vez  E se eu falasse nessas coisas Que vejo em você Me atravessam num segundo sem eu entender e tudo que me faz ver e tudo que faz ter Aquilo que eu sinto por você Parece ser maior Que o destino que me passa e te passa E há de ser um só A gente é diferente quando sente Mas pode ser que mesmo assim A gente até se ajeite  Você bem que podia vir comigo Para além do final dessa rua Outro lado da cidade Ou algo parecido  Estou livre com seu passo E aperto sua mão Que me mostra o caminho Pra te ter então Com você quero partir de vez Sem destino e sem lugar talvez Despreocupo com futuro Que ninguém prevê O que entristece Tento esquecer Isso tanto faz Isso já não faz mal  Aquilo que eu sinto por você Parece ser maior Que o destino que me passa e te passa E há de ser um só A gente é diferente quando sente Mas pode ser que mesmo assim A gente até se ajeite  Você bem que podia vir comigo Para além do final dessa rua Outro lado da cidade Ou algo parecido Você bem que podia vir comigo Para além do final dessa rua Pro outro lado da cidade A gente é parecido  Você bem que podia vir comigo Para além do final dessa rua Outro lado da cidade Ou algo parecido Você bem que podia vir comigo Para além do final dessa rua Pro outro lado da cidade A gente é parecido
Ali,/skank/ali.html,Multishow Ao Vivo no Mineirão,"Ela entrou e eu estava ali Ou será que fui eu que ali entrei Sem sequer pedir a menor licença?  Ela de batom caqui Com os olhos olhava o que eu não sei Olhos de águas vindas de outros oceanos  Ela me olhou,quem? Quem sabe com ela Eu teria as tardes Que sempre me passaram Como miragens, como invenção  Se eu não posso ter Eu fico imaginando,  Virá com ela que entrega, Virá sim, assim virá que eu vi Virá ou ela me espera Virá pois ela estava ali  Ela amou o que estava ali Ou será que foi dela o que eu já amei Como os laços fixos de uma residência  Ela: Alô!? e eu não reagi Com os olhos olhava o que eu lembrei Quando andava indo em outra direção  Ela me olhou, vem! Quem sabe com ela Eu veria as tardes Que sempre me faltaram Como miragens, como ilusão  E se eu não posso ver Eu fico imaginando  Virá com ela que entrega, virá sim, assim virá que eu vi Virá ou ela me espera, Virá pois ela está ali  Ela andou e eu fiquei ali Ou será que fui eu que dali mudei Como os passos mudos de uma reticência  Ela me olhou, bem! Quem sabe com ela Eu teria achado O que sempre me faltava Couros, colagens, sons, emoção  Se eu não posso ser, Eu fico imaginando  Virá com ela que entrega, Virá, assim virá que eu vi Virá ou ela me espera, virá pois ela está ali"
Amanhã,/skank/amanha.html,Skank 91,"Amanhã Quando o sol te acordar Eu vou estar bem atrás de você Pra te vigiar E vou seguir Ah, seus passos pela cidade A intimidade não tem limites Fora de qualquer lei Vou te violar  E se os opostos Se atraem tudo é tão igual Entre nós já não há quem diga Que isso é casual E a tarde quente, agitada, vai ficar tão mansa Ficar tão mansa Enluarada  (Refrão) Só que ainda me sinto Discretamente indeciso Em suas mentiras Ainda teimo em crer Noite passada Eu te flagrei roubando Juntando palavras precisas Pra me corromper  Amanhã Quando o sol te acordar Eu vou estar bem atrás de você Pra te vigiar E vou seguir seus passos pela cidade A intimidade não tem limites Fora de qualquer lei Vou te violar  E se os opostos Se atraem tudo é tão igual Entre nós já não há quem diga Que isso é casual E posso até Provar que sua rotina Tão fria e morta Te ampara, mas sufoca  Só que ainda me sinto Discretamente indeciso Em suas mentiras Ainda teimo em crer Noite passada Eu te flagrei roubando Juntando palavras precisas Pra me corromper"
Amolação,/skank/amolacao.html,Calango,"Deus lá de cima sabe muito bem Qual a minha sina: o que que me convém Bicho do mato ela veio comigo Teve ninho, carinho, broa, abrigo  Labutei na roça, labutei no milharal Labutei passando bem Labutei passando mei mal Bruma no cerebro dela de repente Brus tão brusca, brus bruscamente  Que amolação, que amolação Meu Deus essa mulher só me deu amolação.( BiS)  Deixa de gostar, deixa de me tratar bem Começa a gostar de deixar de me tratar bem Manha manhosa, nhem nhem nhem Eu só penso nela, ela só pensa em se mudar  Quanto mais eu brigo mais me grudo aqui Quanto mais eu fujo mais eu tô apaixonado Bruma no cerebro dela de repente Brus tão brusca, brus bruscamente  Dois guris dos oito que a gente tem Ela apanhou na rua com alguém Mesmo assim eu fui pai pros pobrezinhos Na lei da humildade conforme Jesus Cristo  Mas vem esse odio em câmera lenta Brrr a serpente pinotiza e me tenta Eu procuro uma razão em cada ato meu Deve ser my own fault, deve ser só eu"
Amores Imperfeitos,/skank/amores-imperfeitos.html,Multishow Ao Vivo no Mineirão,Não precisa me lembrar Não vou fugir de nada Sinto muito se não fui feito o sonho seu Mas sempre fica alguma coisa Alguma roupa pra buscar Eu posso afastar a mesa Quando você precisar  Sei que amores imperfeitos São as flores da estação  Eu não quero ver você Passar a noite em claro Sinto muito se não fui seu mais raro amor E quando o dia terminar E quando o sol se inclinar Eu posso por uma toalha E te servir o jantar  Sei que amores imperfeitos São as flores da estação  Mentira se eu disser Que não penso mais em você E quantas páginas o amor já mereceu Os filósofos não dizem nada Que eu não possa dizer Quantos versos sobre nós eu já guardei Deixa a luz daquela sala acesa E me peça pra voltar  Não precisa me lembrar Não vou fugir de nada Sinto muito se não fui feito o sonho seu  Sei que amores imperfeitos São as flores da estação  Mentira se eu disser Que não penso mais em você E quantas páginas o amor já mereceu Os filósofos não dizem nada Que eu não possa dizer Quantos versos sobre nós eu já guardei Deixa a luz daquela sala acesa E me peça pra voltar  Sei que amores imperfeitos São as flores da estação(2x)
Andar Com Fé,/skank/andar-com-fe.html,,"Mas andar com fé eu vou Que a fé não costuma ""faiá""  Andar com fé eu vou Que a fé não costuma ""faiá""  Que a fé tá na mulher A fé tá na cobra coral Ô ô num pedaço de pão A fé tá na maré Na lâmina de um punhal Ô ô na luz, na escuridão  Mas andar com fé eu vou Que a fé não costuma ""faiá""  Andar com fé eu vou Que a fé não costuma ""faiá""  A fé tá na manhã A fé tá no anoitecer Ô ô no calor do verão A fé tá viva e sã A fé também tá pra morrer Ô ô triste na solidão  Mas andar com fé eu vou Que a fé não costuma ""faiá""  Andar com fé eu vou Que a fé não costuma ""faiá""  Certo ou errado até A fé vai onde quer que eu vá Ô ô a pé ou de avião E mesmo quem não tem fé A fé costuma acompanhar Ô ô pelo sim, pelo não  Mas andar com fé eu vou Que a fé não costuma ""faiá""  Andar com fé eu vou Que a fé não costuma ""faiá"""
Aniversário (part. Lia Paris),/skank/aniversario-part-lia-paris.html,Velocia,"É primavera, escute só Saturno se anunciar É festa de Reis Respire fundo, agora é hora do brilho se espalhar  Em cada passo, mais uma chama serpenteia no olhar De quem se aproximar Entregue ao mundo e a tudo que a vida te presentear  O universo sopra em sua direção Onda prateada que vem na luz do seu dom Pra onde você for A estrela já te abençoou  Começo de era, ouça seu guia, a voz da intuição Num canto de sereia Cada palavra, a sinfonia ecoa na multidão  Em sintonia, a maré cheia sobe a luz do luar Esse é o mistério do mar Está escrito: a sorte é pra quem sabe se aventurar  O universo sopra em sua direção Onda prateada que vem na luz do seu dom Pra onde você for A estrela já te abençoou"
Antitelejornal,/skank/antitelejornal.html,Carrossel,"Hoje nasce meu filho Hoje vou me casar Hoje dentro do espelho Vou poder enxergar Pais, mães, irmãos Ruas, bairros, cidadelas E o quintal dos corações Onde moram as coisas belas Hoje vou namorar As solteiras e as casadas As jovens, as carquebradas As lindas e as descuidadas Meu amor vai se espalhar Pelas camas e calçadas Nas prisões e condomínios Nas favelas e esplanadas Hoje andarei sobre as flores Amarelas do ipê Espalhadas pelo chão Antes de anoitecer Cantarei no meu velório Dançarei nos braços da vida Dormirei com a minha amada Vida boa de ser vivida Sem farsa, conchavo, sem guerra Sem malta, corja ou trapaça A vida é um drible ágil Entre as pernas da desgraça Hoje eu vou inventar O antitelejornal Pra passar só o que é belo Pra passar o essencial"
As Noites,/skank/as-noites.html,Cosmotron,"As ruas desse lugar Conhecem bem As noites longas, as noites pálidas Quando eu te procurava  As casas desse lugar Se lembrarão Do nosso abraço, da sombra insólita Espelho azul no chão  As ruas desse lugar Agora eu sei Sempre escutaram a nossa música Quando eu te respirava  As pedras municipais Se impregnaram Da dupla imagem, da dupla solidão A sombra ali no chão  E lá no céu constelações Num arranjo inusitado O seu nome desenhado Pelo menos tinha essa ilusão  E lá no céu os astros Num arranjo surpreendente Se buscavam como a gente Pelo menos tinha essa ilusão  São milhares de estrelas Singulares letras vivas no céu"
