Nome da Música,link,album,letra
Cara Nua,/skank/cara-nua.html,Carrossel,"Eu saí de casa, a rua colorida Fantasias, foliões conseguem me mostrar Que um rosto sem máscara Esconde mais com a cara nua Sempre tem um sorriso largo Mostrando o que não é  Uma máscara perdida nesse chão Tem a forma do seu rosto Que só finge por aí Escondendo uma palavra Mente a todas as canções Cada frase inicia um discurso de ilusões Que dia é esse que só nasce pra você?  Quando chega o carnaval Mais ninguém te encontra Pra você são só uns dias Você quer ter a vida inteira Com a cara toda nua Brincar com quem quiser"
Chão,/skank/chao.html,Estandarte,"Chão que desliza Noites de ilusões à deriva Groove groove groove Hey negrita Teu prazer me cai na saliva  Céu que convida Onde o som bater eu me encaixo Groove groove groove na medida Eu te espero em cima ou embaixo Dentro da noite do mundo Vamos brindar à solidão E acordar nas tábuas desse chão  Não, não vacila Vem aqui mostrar sua arte Groove groove groove na medida Teu prazer é meu o estandarte  Dentro da noite do mundo Vamos brindar à solidão E acordar nas tábuas desse chão"
Chega Disso!,/skank/chega-disso.html,Calango,"Chega disso! Não vou pudê! Já toquei, agora vou, agora gol! I gotta go, now, Agora!  Bamba quando sai o samba liga o automático Solidariedade, caridade e senso prático Signo de touro, tudo que por dendro é ouro Aflora a batucada na barriga da manhã  É no palácio, é no casebre É no sobrado e é na moita Bem bom do bimbilim, big bang do bumbum A minha nêga gosta, chega e se encosta A noite inteira all night long Hum, all night long  Desci lá do Cruzeiro na batida da guitarra Neguinho da favela quis saber onde era a farra Eu disse - meu irmão, onde tiver tomada eu tô Umbuzal,Taquaril, um buraco do Brasil!"
De Repente,/skank/de-repente.html,Multishow Ao Vivo no Mineirão,"Olhei Não vi ela há muito tempo Há quanto tempo faz Nem me lembro mais, então  Pensei na vida que algum tempo Eu deixei pra trás Não me deixe em paz, se não  Porque, ainda aquele tempo Dentro entra e sai, volta vem e vai Sem acabar  Mas o tempo passou O tempo passou ..  Que agora eu sei o que eu passei  Cantei  Contei, estrelas mil no firmamento Vão brilhar, depois apagar, irão Chorei,  As lágrimas correndo como Nos cristais, Fogos dos vitrais, pagãos  Não à solidão, amar e desejar a vida Que não deu as mãos Mas vai dentro da gente  Como explosão do ar Como furacão no mar  De repente é Você voltou assim  Eu preciso ir mais, Eu preciso Uh hu uh.. Eu preciso mais, eu preciso Uh hu uh.."
Do Ben,/skank/do-ben.html,Siderado,"Sua mão direita vale ouro Que trouxe o novo som Pra dividir com os outros Simpatia gera simpatia Alegria gera alegria  Domingas gerou bondade Do Ben que cantou Charles Charles que deu a voz Ao outro lado da cidade  Ben, Ben....... Quero mais do Ben  Um grande rapper de São Paulo Deu ao filho o nome Jorge Invocando de novo o guerreiro Que batuca no violão O futuro de muitos velhos macumbeiros  De todos os butecos que Santa Clara clareia Pelo mundo a fora porque outros meninos virão Com outras formas de samba pra melhorar nossa historia  Ben, Ben....... Quero mais do Ben  Levanta e ""vamo simbora "" Que a área tá pesada Nosso Charles agora é o rei mais novo Que lá em cima do morro Limpando a 45  Ainda se torna um Zé Pretinho Ao ouvir alguma coisa do Ben Sonhando com o carnaval Sobrevivendo ao ano que vem  Ben, Ben....... Quero mais do Ben"
Do Mesmo Jeito,/skank/do-mesmo-jeito.html,Velocia,Falhei quando tentei dançar a dois A valsa estranha dos meus dias Senti o fogo arder para depois Deixar as minhas mãos mais frias  Entortei os ponteiros com a mão Pra ver estremecer o tempo Por um segundo eu tive a sensação Até ela me escapar com o vento  Mas se eu pudesse voltar no tempo Jamais mudaria um só momento Então vai É tudo o que eu posso pedir Olhe pra trás Eu ainda estarei aqui  Do mesmo jeito (do mesmo jeito!) Que você deixou Vou te esperar Mais certo que o nascer do dia Só pra dizer (só pra dizer) Que não acabou Quero você Pra encher minha casa vazia  E se o sol se esquece de nascer Eu ficarei em casa todo o dia Quem sabe assim eu protejo você Desse coração que só quer folia  Mas se eu pudesse voltar no tempo Jamais mudaria um só momento Então vai É tudo o que eu posso pedir Olhe pra trás Eu ainda estarei aqui  Do mesmo jeito (do mesmo jeito!) Que você deixou Vou te esperar Mais certo que o nascer do dia Só pra dizer (só pra dizer) Que não acabou Quero você Pra encher minha casa vazia  Do mesmo jeito (do mesmo jeito!) Que você deixou Vou te esperar Mais certo que o nascer do dia Só pra dizer (só pra dizer) Que não acabou Quero você Pra encher minha casa vazia
Dois Rios,/skank/dois-rios.html,Multishow Ao Vivo no Mineirão,"O céu está no chão O céu não cai do alto É o claro, é a escuridão  O céu que toca o chão E o céu que vai no alto Dois lados deram as mãos  Como eu fiz também Só pra poder conhecer  O que a voz da vida vem dizer  Que os braços sentem E os olhos veem Que os lábios sejam Dois rios inteiros Sem direção  O sol é o pé e a mão O sol é a mãe e o pai Dissolve a escuridão  O sol se põe se vai E após se pôr O sol renasce no Japão  Eu vi também Só pra poder entender Na voz da vida ouvi dizer  Que os braços sentem E os olhos veem E os lábios beijam Dois rios inteiros Sem direção  E o meu lugar é esse Ao lado seu, no corpo inteiro Dou o meu lugar pois o seu lugar É o meu amor primeiro O dia e a noite as quatro estações  O céu está no chão O céu não cai do alto É o claro, é a escuridão  O céu que toca o chão E o céu que vai no alto Dois lados deram as mãos  Como eu fiz também Só pra poder conhecer  O que a voz da vida vem dizer  Que os braços sentem E os olhos veem Que os lábios sejam Dois rios inteiros Sem direção  E o meu lugar é esse Ao lado seu, no corpo inteiro Dou o meu lugar pois o seu lugar É o meu amor primeiro O dia e a noite as quatro estações  Que os braços sentem E os olhos veem Que os lábios sejam Dois rios inteiros Sem direção"
Don Blás,/skank/don-blas.html,Siderado,"Don Blás Ajeita os cabelos E sai Gomalinamente  Cidadezinha uruguaia O bonde ele ponga Toma lugar pra ler Sonda seus pares E songamonga Outras mais ímpares vê  Baixou Na praça maior Desceu Olhando ao redor  Olha pro sol e sai Ali dá sombra, ali tá bom Olha o relógio e vai Olha pro sol sai Aqui na sombra onde Brasil Divisa com Uruguai  Chegou Cristal da manhã Maná Dolores pagã  Não atinou com a sombra do mal ali Nem viu Don Blás fugir Não viu a rede se desfazer Sem o pescado, eh hí!  O peixe morre pela boca Ou senão pelo sexo Estude o léxico do amor, por favor Blás, homem galante Poderoso e confiante Descansa numa estância longe de sua amante  Então cumpre admitir que desta feita quase Me dei mal Sorte ter o brilho me cegado, o cano de metal Fosse obedecer um caralho que jamás Recua e quer reinar Mas nem o sonso distrai o papai aqui  Portanto cumpre tomar precauções Doravante Nada de morrer por causa de saia O que é a mulher? pergunta alguém. O que é a mulher? A vida é boa mas me cansa a cabeça  Filha do pai me chama na praia Descendo vai aonde a tocaia..."
É Proibido Fumar,/skank/e-proibido-fumar.html,Rock In Rio ao vivo,"É proibido fumar, diz o aviso que eu li É proibido fumar, pois o fogo pode pegar Mas não adianta o aviso olhar Pois a brasa que agora eu vou mandar Nem bombeiro pode apagar Nem bombeiro pode apagar  Eu pego a garota e canto uma canção E nela dou um beijo com empolgação Do beijo sai faisca e a turma toda grita Que o fogo pode pegar  Nem bombeiro pode apagar O beijo que eu dei nela assim Nem bombeiro pode apagar Garota pegou fogo em mim  Sigo incendiando bem contente e feliz Nunca respeitando o aviso que diz Que é proibido fumar Que é proibido fumar  Eu pego a garota e canto uma canção E nela dou um beijo com empolgação Do beijo sai faisca e a turma toda grita Que o fogo pode pegar  Nem bombeiro pode apagar O beijo que eu dei nela assim Nem bombeiro pode apagar Garota pegou fogo em mim  Sigo incendiando bem contente e feliz Nunca respeitando o aviso que diz Que é proibido fumar  Que é proibido fumar Que é proibido fumar Que é proibido fumar"
E Que O Tempo Nos Espera,/skank/e-que-o-tempo-nos-espera.html,,"São teus meios, entre universos Descubram as nuvens E me coloque mais perto Porque você sempre esqueceu Ao mesmo, nem existiu Estes passos são longos Sem rumo, nem céu Dialogo profundo Queriam te encontrar num instante Você não existe, eu sei Quando você olha, seus olhos são cegos Quando eu me toquei não era nada em comum sou eu sem alguém  E que o tempo nos espera Semanas e meses E o tempo é uma febre Anos sem curas E que o tempo nos espera Sem enredos, sem preces Procurei por alguém Estes dias sem qualquer lugar   Sabe-se que eu não te encontrei Mesmo nesse planeta terra Preferia estar ao teu lado Porque você não entendeu ? Queremos o mesmo obvio Meus passos são longos Sem rumo, nem céu Dialogo profundo Queriam te encontrar num instante Você não existe, eu sei Quando você olha, seus olhos me entrega  E que o tempo nos espera Semanas e meses E o tempo é uma febre Anos sem curas E que o tempo nos espera Sem medo nem rezas Procurei por alguém Estes dias sem qualquer lugar  São teus olhos Não me distancie Quem sabe eu não tente E que o tempo nos espera Semanas e meses E o tempo é uma febre Anos sem curas"
É Tarde,/skank/e-tarde.html,Cosmotron,"É Tarde - (Samuel Rosa - Chico Amaral)  Se você olhar um pouco ao seu redor Vai poder notar que a noite já caiu Se você voltar pra casa e não achar ninguém Vai notar que na cidade falta alguém  Se você ligar o rádio Todas as canções irão dizer: Goodbye, so long, my love  Se você ligar o rádio Todas elas juntas vão dizer: é tarde  Se você perdeu agora a ilusão De que os fatos eram fios em suas mãos Vai querer tirar do armário o velho violão Vai notar que ainda falta uma canção  Se você ligar o rádio Todas as canções irão dizer: Goodbye, so long, my love  Você vai deixar na lista das tarefas de amanhã: chorar mais tarde  E quando o sol da manhã bater na porta E quando nada lá fora agora importa Tudo bem, é tarde"
É Uma Partida De Futebol,/skank/e-uma-partida-de-futebol.html,Rock In Rio ao vivo,"Bola na trave não altera o placar Bola na área sem ninguém pra cabecear Bola na rede pra fazer o gol Quem não sonhou em ser um jogador de futebol?  A bandeira no estádio é um estandarte A flâmula pendurada na parede do quarto O distintivo na camisa do uniforme Que coisa linda, é uma partida de futebol  Posso morrer pelo meu time Se ele perder, que dor, imenso crime Posso chorar se ele não ganhar Mas se ele ganha, não adianta Não há garganta que não pare de berrar  A chuteira veste o pé descalço O tapete da realeza é verde Olhando para bola eu vejo o sol Está rolando agora, é uma partida de futebol  O meio campo é lugar dos craques Que vão levando o time todo pro ataque O centroavante, o mais importante Que emocionante, é uma partida de futebol  O goleiro é um homem de elástico Os dois zagueiros tem a chave do cadeado Os laterais fecham a defesa Mas que beleza é uma partida de futebol  Bola na trave não altera o placar Bola na área sem ninguém pra cabecear Bola na rede pra fazer o gol Quem não sonhou em ser um jogador de futebol?  O meio campo é lugar dos craques Que vão levando o time todo pro ataque O centroavante, o mais importante Que emocionante, é uma partida de futebol!  Utêrêrêrê, utêrêrêrê, utêrêrêrê, utêrêrêrê"
Ela Desapareceu,/skank/ela-desapareceu.html,Maquinarama,"Ela desapareceu como a lua Que vai por trás das nuvens E tudo escureceu como na rua Quando faltam as luzes Não há ninguém Nas calçadas E se não há mais ninguém, é porque Não há ninguém Dele se escondeu Com mil disfarces úteis Tudo se resolveu na areia Onde fazem casa os avestruzes  Ou quem Não pode admitir que tem Motivos pra viver Por alguém (Refrão)  Ela nunca pareceu Do tipo que manda flores mortas Paraíso que escolheu Muito vivo, mas só por trás das portas Não há ninguém Nos jardins Não há mais clareza, nem meios Pra esses fins Escuridão na veia Com mil disfarces úteis Tudo se resolveu na areia Onde fazem casa os avestruzes  Ou quem Não pode admitir que tem Motivos pra viver Por alguém (Refrão)"
Ela Me Deixou,/skank/ela-me-deixou.html,Velocia,"Olinda ergueu-se em ouro Quando ela trouxe a esse lugar Vida! E a paz reinou Suave então  Aquilo que era pouco Multiplicou até bastar No rio pôs água doce O sal no mar  Ela me deixou Suave Era linda a vida quando ela partiu, deixou Saudade  Ela me deixou Saudade Minha vida quando ela surgiu, aqui ficou Suave  Na linha do horizonte Evaporou, nenhum sinal Sumiu da tela a cor Da imagem  O dia fez-se em noite Surgiu da sombra o temporal Cobriu a Terra toda Em lágrimas  Ela me deixou Suave Era linda a vida quando ela partiu, deixou Saudade  Ela me deixou Saudade Minha vida quando ela surgiu, aqui ficou Suave  O farol do morro Não acende mais E no cais do porto Não há conchas ou corais E o mar Que nenhuma onda tem"
Escravo,/skank/escravo.html,Estandarte,"Eu moro no palácio E cuido de suas flores Não é ofício fácil Como pensam os senhores   Eu lavo as costas dela Com ervas aromáticas Se ela é tão bela Deve um pouco às minhas práticas  Já fui um tuareg Cruzei sete desertos A noite azul me segue Com seus olhos bem abertos  Não tenho mais visões Exceto quando fumo Às vezes nos salões Certas misturas que arrumo  Já disse o velho Dylan You gotta serve somebody Eu sirvo às leis do islã Pra que o amor de Alá vigore  Só tenho confiança Na bela soberana A minha morte dança Quando passa a caravana  Sou escravo dela Isso é o que eu sei Seu desejo é sempre minha lei Minha sorte, meu céu e meu norte"
Esmola,/skank/esmola.html,Rock In Rio ao vivo,"Uma esmola pelo amor de Deus Uma esmola, meu, por caridade Uma esmola pro ceguinho, pro menino Em toda esquina, tem gente só pedindo  Uma esmola pro desempregado Uma esmolinha pro preto pobre doente Uma esmola pro que resta do Brasil Pro mendigo, pro indigente  Ele que pede, eu que dou, ele só pede O ano é mil, novecentos e noventa e tal Eu tô cansado de dar esmola Qualquer lugar que eu passe é isso agora  Uma esmola pelo amor de Deus Uma esmola, meu, por caridade Uma esmola pro ceguinho, pro menino Em toda esquina, tem gente só pedindo  Uma esmola pro desempregado Uma esmolinha pro preto pobre doente Uma esmola pro que resta do Brasil Pro mendigo, pro indigente  Eu tô cansado, meu bom, de dar esmola Essa quota miserável da avareza Se o país não for pra cada um Pode estar certo Não vai ser pra nenhum  Não vai não, não vai não, não vai não, não vai não Não vai não, não vai não, não vai não No hospital, no restaurante, No sinal, no Morumbi No Mário Filho, no Mineirão  Menino me vê, começa logo a pedir Me dá, me dá, me dá um dinheiro aí Menino me vê, começa logo a pedir Me dá, me dá, me dá um dinheiro aí  Uma esmola pelo amor de Deus Uma esmola, meu, por caridade Uma esmola pro ceguinho, pro menino Em toda esquina, tem gente só pedindo."
Esquecimento,/skank/esquecimento.html,Velocia,"Enquanto você para e espera Eu ando, invado Eu abro a porta e entro  Enquanto você cala quieta Eu brigo, eu falo Eu berro, eu enfrento  No canto dessa sala emperra Eu ligo, acerto Eu erro e eu tento  Enquanto você fala: ""Espera"" Aflito eu fico E digo: ""Eu não entendo.""  Não sei porque você Insiste em demorar Eu quero que você Diga já  Que seja no Japão Jamaica ou Jalapão No Jaraguá ou na Guiné De charrete ou caminhão De carro ou caminhando a pé Eu vou  No banco sem guitarra elétrica Com violão Escrevo esse lamento  Pois como molha a água a pedra Meu canto encerra O seu esquecimento  Não sei porque você Insiste em demorar Eu quero que você Diga já  Que seja no Japão Jamaica ou Jalapão No Jaraguá ou na Guiné De charrete ou caminhão De carro ou caminhando a pé Eu vou"
Estare Prendido En Tus Dedos,/skank/estare-prendido-en-tus-dedos.html,MTV Ao Vivo - Skank,Para ti soy un aprendiz Preso entre Escila y Caríbdis Hipnotizado si vacilo Mirando en tu dedo el anillo  Solo vengo aquí para saber Cosas que no me dijeron ayer Puedo ver el destino que vendes Banda de oro en el dedo que extiendes  ESTARE PRENDIDO EN TUS DEDOS  Mefistofeles no es tu apellido Un poco más y lo habría sido Escucharé bien todo lo que dices Verás lo que pueden los aprendices  ESTARE PRENDIDO EN TUS DEDOS  Diablo y mar profundo están detrás Un segundo y no me encontrarás Tornaré tu rostro en alabastro Sabes que tu siervo es tu maestro  ESTARÁS AHORA EN MIS DEDOS
Estivador,/skank/estivador.html,Calango,"Açúcar no cais do porto É na estiva, é na estiva Ás vezes me sinto morto A alma morta, a carne viva  Podiam me esquecer É tudo igual, é todo dia  Disputas na estivagem Viver de amor, calor e briga Capo é um bom selvagem Empurra o fardo com a barriga  Podiam reconhecer Alguém mais fraco sucumbia Mas eu aguento a carga do vapor Sou calejado, sou estivador  As putas do porto partem Na convulsão dos dias quentes Que voltem, que se fartem Com meu coraçãozinho ardente  Podiam lembrar de mim Alguém sincero lembraria Mas eu seguro a carga do vapor Sou calejado, sou estivador."
Eterna Espera,/skank/eterna-espera.html,Skank 91,"O que todos esses homens querem Que procuram e não podem encontrar Algo que brilhe em seus olhos Mesmo sem o sol brilhar  Perguntam sempre que jogo jogam Que preço vão ter que pagar Não está em Deus nem no diabo, iê E aptidão que nunca vai se acabar  Que não está na paixão vivida De uma noite sem tréguas de um verão tão longo De um breve suspiro depois de um certeiro tiro Não é o começo, nem é o fim Será que está (?) no escuro É um eterno, é um eterno entardecer É uma eterna, uma eterna espera Do que há entre ganhar e perder  O que todos esses homens querem Que procuram e não podem encontrar Algo que brilhe em seus olhos Mesmo sem o sol brilhar  Perguntam sempre que jogo jogam Que preço vão ter que pagar Não está em Deus nem no diabo, iê E aptidão que nunca vai se acabar  Que não está na paixão vivida Numa noite sem tréguas num verão tão longo De um breve suspiro depois de um certeiro tiro Não é o começo, nem é o fim Será que está (?) no escuro É um eterno, é um eterno entardecer É uma eterna, uma eterna espera Do que há entre ganhar e perder  O que todos esses homens querem Que procuram e não podem encontrar Algo que brilhe em seus olhos, iê Mesmo sem o sol brilhar  Que não está na paixão vivida De uma noite sem tréguas num verão tão longo De um breve suspiro depois de um certeiro tiro Não é o começo, nem é o fim Será que está (?) no escuro É um eterno, é um eterno entardecer É uma eterna, uma eterna espera Do que há entre ganhar e perder"
Eu Disse A Ela,/skank/eu-disse-a-ela.html,O Samba Poconé,"Quando eu disse a ela que o amor passou A cidade levemente flutuou Ondas amarelas a Contorno cheia A cidade simplesmente me odeia  Mesmo sabendo que a vida nos engana, Mesmo sabendo que a opala não é plana Mesmo sabendo que a dor cartesiana Mesmo sabendo que só música baiana  Eu disse a ela que o amor morreu A cidade sutilmente estremeceu Bestas e janelas, êxtase no breu A cidade nos meus dentes tu e eu, tu e eu  Quando eu disse a ela que o amor passou A cidade levemente flutuou Ondas amarelas a contorno cheia A cidade simplesmente me odeia  Eu disse a ela que Eu disse a ela então Eu disse a ela que Eu disse a ela não, disse a ela não  Mesmo sabendo que a vida nos engana Mesmo sabendo que a opala não é plana Mesmo sabendo que a dor cartesiana Mesmo sabendo que só música baiana  Eu disse a ela que Eu disse a ela então (disse a ela) Eu disse a ela que Eu disse a ela não, disse a ela não (2x)"
Eu E A Felicidade,/skank/eu-e-a-felicidade.html,Carrossel,"E afinal ela quer me entregar Ou não quer? Um beijo letal E some no espaço E afinal de onde vem Será que tem mais também? Não ouço sinal Ninguém nesse rádio Ela entrou numa astronave O seu sonrisal cápsula Circular sensual De longe chegou Habitante de Marte Depois de morder me deu um soco e assoprou Depois de comer lavou suas mãos e enxugou E eu não passo de um brinquedo Desmontável Mas no meu quintal desceu essa nave de Vênus Vestida de noiva De véu e grinalda E sem explicar eu olhei para baixo E vi no terreiro Um trevo de cinco folhas Que é muito mais raro E eu entrei numa astronave E sem avental, sem sapato ou gravata flutuei, levitei Muito acima do asfalto Eu e a felicidade Que depois de me ver mostrou seu rosto e acenou Depois disse adeus, beijou minha boca e abençoou Ela não passa de um desejo Inflamável Natural é ter um trabalho, um salário Um emprego Nome confiável Respeito na praça Mas afinal o que é felicidade É sossego Nesse mundo pequeno de tempo e de espaço Ela só vem dizer que quem nasceu ja conquistou O reino de deus é um direito Não é um milagre."
Eu Me Perdi,/skank/eu-me-perdi.html,Skank 91,"Eu me perdi já não sei bem quem eu sou Eu me perdi já não sei bem quem você é Eu me perdi já não sei bem quem eu sou Eu me perdi já não sei bem quem você é  Eu já disse pra ela que não era defeito Ela me disse porém quem não sabia com quem Eu já disse pra ela que não era defeito Ela me disse porém quem não sabia com quem  Não sabia o que era Mas a muito tentava descobrir Já não vou passar minha vida a limpo Negar quilo que já está feito  Você diz coisas demais, mais futuros banais Porque te escuto eu não sei, eu só corro perigo Você me diz que é bom mas eu nunca provei Pra que eu escuto não sei, você não tem esse dom"
Fica,/skank/fica.html,Maquinarama,"Se você vai trabalhar E me deixar, que pena! Eu corro risco tão sozinho Nessa ogiva azul imensa  Suas pernas andam no centro Sobem as escadas, curvam-se em torno Das volutas que moram dentro Do meu pensamento morno  Então, diz e diz que fica Longe ou perto, toda pra mim Então, diz, desmistifica A história de que a vida é ruim  Pode parecer mentira Pode parecer que não Eu te tenho bem na mira Mas você me tem na mão  Vadio, sim Na tarde vã, suspensa Sei que você nem pensa Em não sumir assim Você diz pra eu não ligar  Mas não sei como ficarei imune Imagino você nesse mar De carros, coisas e cardumes  Então, diz e diz que fica Longe ou perto, toda pra mim Então, diz, desmistifica A história de que a vida é ruim  Pode parecer mentira Pode parecer que não Eu te tenho bem na mira Mas você me tem na mão"
Formato Mínimo,/skank/formato-minimo.html,Radiola,"Começou de súbito A festa estava mesmo ótima Ela procurava um príncipe Ele procurava a próxima  Ele reparou nos óculos Ela reparou nas vírgulas Ele ofereceu-lhe um ácido E ela achou aquilo o máximo  Os lábios se tocaram ásperos Em beijos de tirar o fôlego Tímidos, transaram trôpegos E ávidos gozaram rápido  Ele procurava álibis Ela flutuava lépida Ele sucumbia ao pânico E ela descansava lívida  O medo redigiu-se ínfimo E ele percebeu a dádiva Declarou-se dela o súdito Desenhou-se a história trágica  Ele enfim dormiu apático Na noite segredosa e cálida Ela despertou-se tímida Feita do desejo a vítima  Fugiu dali tão rápido Caminhando passos tétricos Amor em sua mente épico Transformado em jogo cínico  Para ele uma transa típica O amor em seu formato mínimo O corpo se expressando clínico Da triste solidão a rubrica"
Fotos na Estante,/skank/fotos-na-estante.html,Multishow Ao Vivo no Mineirão,"Sem mais nem menos Sem remédio, sem desculpa...  Em horas tortas Horas tímidas, ocultas...  Pelas esquinas De olhares indiscretos...  O nosso amor Amor claro de objeto...  Sem dor ou crime Amor simples e direto...  Entre os pássaros de barro Descansando na estante Pelas costas amarelas Dessas fotos insinceras Descobri lindas mentiras Tão terríveis quanto belas...  Digo o que fazer então São memórias tão reais Do que nunca aconteceu...  Desenhei miragens tolas Nas margens do seu deserto E uma verdade impossível Só pra ter você por perto...  Sem dor ou crime Amor simples e direto...  Entre os pássaros de barros Descansando na estante...  Pelas esquinas De olhares indiscretos...  O nosso amor Quebrou feito objeto...  Digo o que fazer então São memórias tão reais Do que nunca aconteceu...  Desenhei miragens tolas Nas margens do seu deserto E uma verdade impossível Só pra ter você por perto..."
Galápagos (part. Nando Reis),/skank/galapagos-part-nando-reis.html,Velocia,"Nas ilhas de Galápagos Na linha do Equador, no marco zero Assim que o sol se pôs E a lua despontou no azul do céu  Na areia da praia Vinda das ondas do mar Sereia ou fada Dali começou encantar  Diga: de onde vem? Bem-vinda, procura alguém?  Fico onde estou, vou ou não vou? Miro de longe Digo que vou ao seu encontro Sigo meu voo  Esfinge do Cairo Das dunas lancinates do deserto Cirio celeste em fogo Sua lira delirante não tem nexo  Na beira da praia Vestida de conchas do mar Sereia ou fada Ali começou a cantar  Se não dá pé, deixa na mão Missa que a fé, enxerga não  Linda chegou pra esse pouso Vinda de longe Fica que eu vou ao seu encontro Sigo meu voo"
Garota Nacional,/skank/garota-nacional.html,Rock In Rio ao vivo,"Aqui nesse mundinho fechado ela é incrível Com seu vestidinho preto indefectível Eu detesto o jeito dela, mas pensando bem Ela fecha com meus sonhos como ninguém, uh  Beat it laun, daun daun Beat it loom, dap´n daun Beat it laun, baun baun(2x)  Conhece a ti mesmo que eu me conheço bem Sou um qualquer vulgar, bem, às vezes me esqueço E finjo que não finjo, ao ignorar eu sei Que ela me domina no primeiro olhar, uh  Beat it laun, daun daun Beat it loom, dap´n daun Beat it laun, baun baun(2x)  Eu quero-te provar, sem medo e sem amor Oh, quero-te provar  Porque ela derrama um banquete, um palacete Um anjo de vestido, uma libido do cacete Ela é tão tão vistosa que talvez seja mentira Quem dera minha cara fôsse de sucupira  Conhece a ti mesmo que eu me conheço bem Sou um qualquer vulgar, bem, às vezes me esqueço E finjo que não finjo, ao ignorar eu sei Que ela me domina no primeiro olhar, uh  Beat it laun, daun daun Beat it loom, dap´n daun Beat it laun, baun baun(2x)  Eu quero te provar Sem medo e sem amor Quero te provar Eu quero te provar Cozida à vapor Quero te provar"
Garrafas,/skank/garrafas.html,Carrossel,"As garrafas jogadas no chão As garotas vestidas ou não Os bongôs marroquinos nas mãos E ela me mostrou o seu violão que eu dedilhei  Quando alguém chegou nesse exato momento Mas alguém chegou nesse exato momento Sei que alguém chegou nesse exato momento  As garrafas vazias nas mãos As garotas despidas ou não Os bongôs marroquinos no chão E ela me mostrou uma flor lilás que eu aspirei  Quando alguém chegou nesse exato momento Mas alguém chegou nesse exato momento Sei que alguém chegou nesse exato momento  As janelas abertas, o céu O dourado das folhas no azul Estilhaços de nuvens no mar E ela se envolveu nua no lençol e adormeceu  E o sol nasceu nesse exato momento E o sol chegou nesse exato momento E o sol bateu nesse exato momento"
Gentil Loucura,/skank/gentil-loucura.html,Skank 91,"Hoje eu tô jogando tudo fora Tudo que não presta mais Todo o lixo que juntei Nos meus becos e quintais Tô falando de loucura Tô falando de viver Aura clara, sorte escura Descobrir o que se é, e ser Pois é preciso ser honesto Se cada dia é diferente Sou um anjo e não presto Sou só eu no meio desta gente Tô cansado de bancar O herói de mim ou do bem Abro a porta, eu quero mais Eu quero ser sincero com alguém Deixe que eu respire o ar livre da rua Sem parar pra discutir Deixe que eu passeie minha loucura Gentilmente por aí"
Homem Q Sabia Demais,/skank/homem-q-sabia-demais.html,Skank 91,"Ele sabia que o amor é um tiro Num alvo além da visão Capaz da miragem mais linda No olho de um furacão Sabia que o desejo é um rio Cheio de eletricidade Como um animal no cio Indiferente à felicidade  O homem que sabia demais, nao sabia Não sabia esquecer Nem voltar atrás, pois sabia mais Muito mais do que podia saber  Ele sabia que sua paixão Debochava da velha moral Como um feitiço absurdo Muito além do bem e do mal Continuava sempre sozinho Procurando entender a razão Que lhe tornava um ser tão sabido Mas não explicava a solidão"
I Want You,/skank/i-want-you.html,Radiola,"The guilty undertaker sighs The lonesome organ grinder cries The silver saxophones say I should refuse you The cracked bells and washed-out horns Blow into my face with scorns But it's not that way I wasn't born to lose you I want you, I want you I want you so bad Honey, I want you  The drunken politician leaps Upon the street where mothers weep And the saviors who are fast asleep They wait for you And I wait for them to interrupt Me drinkin' from my broken cup And ask me to Open up the gate for you I want you, I want you I want you so bad Honey, I want you  Now all my fathers, they've gone down True love they've been without it But all their daughters put me down 'Cause I don't think about it  Well, I return to Queen of Spades And talk with my chambermaid She knows that I'm not afraid To look at her She is good to me And there's nothing she doesn't see She knows where I'd like to be But it doesn't matter I want you, I want you I want you so bad Honey, I want you  Now your dancing child whit Chinese suit He spoke to me, I took his flute No, I wasn't very cute to him Was I? But I did it, though, because he lied Because he took you for a ride And because time was on his side And because I? I want you, I want you I want you so bad Honey, I want you"
In(dig)nação,/skank/indignacao.html,Skank 91,"Eu fiquei indignado Ele ficou indignado A massa indignada Duro de tão indignado A nossa indignação  É uma mosca sem asas Não ultrapassa as janelas De nossas casas  Indignação indigna Indigna nação Indignação indigna Indigna inação  Lazzo Matumbe, Araketu, Iiê Ayê - a Bahia indignada. Carlos Cachaça, Morenguera,Ivo Meirelles - o samba indignado. Vila Dias, Papagaio, Cafezal, Pendura Saia, Pau Comeu, Pai Tomás, Santa Marta-o morro indignado. Ramiro, Lúcio Flávio e Escadinha, o crime indignado. Cafuringa,Natal e Jairzinho lá na ponta indignados. Satã e Seus Asseclas, Imigrantes da Abissínia, Boca Branca, Os Inocentes e os Leões da Lagoinha indignados. Jaguarão, Oiapoque e Guaicurus - a zona indignada. Ginga, Mão Branca, Negrinhos de sinhá- a capoeira indignada, Gaviões, Galoucura, Máfia Azul, Young Flu, Mancha Verde,Falange, Independente - a massa indignada."
